id,PARTY,PARTYNM,AREA,PERSON,OUTSTANDINGAMT
199,257,"JAY AMBE DRY FRUITS, SARA COMPLEX",BHATHENA,NITINBHAI 1,1757185
200,258,"JAGDAMBA TRADERS, KIM",KIM,DHIRENBHAI,65651
201,259,"JULELAL TRADERS, BHARUCH",,EXTRA,18300
202,260,"JAY TRADERS (DANGIGEV SOC.), PUNAGAM",PUNA GAM (D),VIPULBHAI,24130
203,261,"JALARAM MASALA (KANBHAI) UDHYOGNAGAR, NAVSARI",SACHIN,VIPULBHAI,200666
204,262,"JILANI TRADERS, MITHI KHADI",MITHI KHADI,NITINBHAI 2,36745
205,263,"JALARAM SOPARI (VIRAL BHAI), SUDAMA CHOWK",,SHOP,158750
206,264,"JESVAL INDUSTRIES, KADODARA",BARDOLI,DHIRENBHAI,201600
207,265,"JAY HARSIDDHI SUPER STORE, MOTA VARACHHA",,SHOP,47467
208,266,"JALARAM TRADERS, ANKLESHWAR",ANKLESHWAR,JAYKISHAN,55555
209,268,"JAY TULSI TRADERS, BHATAR",BHATAR ROAD,NITINBHAI 1,1440
210,269,"JASUBEN KANTILAL, KATARGAM",KATAR GAM 1,NITINBHAI 1,12020
211,272,"JAY AMBE SUPER MARKET, A K ROAD",A.K.ROAD V,VIPULBHAI,9500
212,275,"JADAV POOJA SAMGRI, GODADARA",GODADARA 1,NITINBHAI 2,24510
213,277,"KARMCHARI DHIRAN SAHKARI MANDLI (DEBIT), KAMREJ",KAMREJ,VIPULBHAI,57770
214,278,"ASHAPURA KIRANA (KOYARAM JAGNATH), AASPAS",GODADARA 2,NITINBHAI 2,183500
215,279,"Z KHETESHVAR TRADING, PARBAT PATIYA",ROLL (N),EXTRA,304631
216,280,"KRISHNA GENERAL STORE (BAMROLI), PANDESARA",PANDESARA,NITINBHAI 2,212155
217,281,"KRISHNA GENERAL STORE, NAVAGAM",NAVAGAM,NITINBHAI 2,124870
218,282,"KRISHNA TRADING (CHUNILAL), KAMREJ",KAMREJ,VIPULBHAI,114148
219,283,"Z KAMAL TRADERS, KIM",ROLL (D),EXTRA,1230
220,284,"KISHAN TRADERS, PARBATPATIA",ROLL (N),EXTRA,4313
221,285,"K.K FOOD, PIPODARA",KIM,KANBHAI,1660000
222,286,"JALARAM MASALA (KAN BHAI), SACHIN",SACHIN,VIPULBHAI,126141
223,288,"KALIDAS GHELABHAI, NANPURA",NANPURA,NITINBHAI 1,41196
224,289,"KETAN BHAI MADHI, BARDOLI",BARDOLI,DHIRENBHAI,534333
225,290,"KAILASH KIRANA (UTRAN GAM), UTRAN   (Unclear Cheque :      12500)",AMROLI,VIPULBHAI,1600
226,291,"KANAIYA KIRANA, H. POOJA - PANDESARA PANDESARA",PANDESARA,NITINBHAI 2,375265
